0.21,1.41,-1.570796
0.21,1.31,-1.570796
0.21,1.21,-1.570796
0.21,1.11,-1.570796
0.21,1.01,-1.570796
0.21,0.91,-1.570796
0.21,0.81,-1.570796
0.21,0.71,-1.570796
0.21,0.61,-1.570796
0.23,0.48,-1.258731
0.29,0.37,-0.943176
0.37,0.29,-0.627620
0.48,0.23,-0.312065
0.61,0.21,0.000000
0.71,0.21,0.000000
0.81,0.21,0.000000
0.92,0.21,0.000000
1.01,0.21,0.000000
1.11,0.21,0.000000
1.22,0.21,0.000000
1.35,0.23,0.312065
1.46,0.29,0.627620
1.54,0.37,0.943176
1.6,0.48,1.258731
1.62,0.61,1.570796
1.62,0.71,1.570796
1.62,0.81,1.570796
1.62,0.92,1.570796
1.62,1.01,1.570796
1.62,1.11,1.570796
1.62,1.22,1.570796
1.62,1.31,1.570796
1.62,1.42,1.570796
1.62,1.51,1.570796
1.62,1.61,1.570796
1.62,1.72,1.570796
1.62,1.81,1.570796
1.62,1.92,1.570796
1.62,2.02,1.570796
1.62,2.12,1.570796
1.62,2.21,1.570796
1.62,2.31,1.570796
1.62,2.42,1.570796
1.62,2.52,1.570796
1.62,2.62,1.570796
1.62,2.71,1.570796
1.62,2.81,1.570796
1.62,2.92,1.570796
1.62,3.02,1.570796
1.62,3.12,1.570796
1.62,3.21,1.570796
1.62,3.31,1.570796
1.62,3.42,1.570796
1.21,3.42,3.141593
1.11,3.42,3.141593
1.01,3.42,3.141593
0.92,3.42,3.141593
0.81,3.42,3.141593
0.71,3.42,3.141593
0.61,3.42,3.141593
0.48,3.4,-2.829528
0.37,3.34,-2.513972
0.29,3.26,-2.198417
0.23,3.15,-1.882861
0.21,3.02,-1.570796
0.21,2.92,-1.570796
0.21,2.81,-1.570796
0.21,2.71,-1.570796
0.21,2.62,-1.570796
0.21,2.52,-1.570796
0.21,2.42,-1.570796
0.21,2.31,-1.570796
0.21,2.21,-1.570796
0.21,2.12,-1.570796
0.21,2.02,-1.570796
0.21,1.92,-1.570796
0.21,1.81,-1.570796
0.21,1.72,-1.570796
0.21,1.61,-1.570796
0.21,1.51,-1.570796
0.21,1.41,0.000000
0.32,1.41,0.000000
0.41,1.41,0.000000
0.52,1.41,0.000000
0.61,1.41,0.000000
0.71,1.41,0.000000
0.81,1.41,0.000000
0.92,1.41,0.000000
1.01,1.41,0.000000
1.11,1.41,0.000000
1.22,1.41,0.000000
1.31,1.41,0.000000
1.42,1.41,0.000000
1.51,1.41,0.000000
1.61,1.41,0.000000
1.72,1.41,0.000000
1.81,1.41,0.000000
1.92,1.41,0.000000
2.02,1.41,0.000000
2.12,1.41,0.000000
2.21,1.41,0.000000
2.31,1.41,0.000000
2.42,1.41,0.000000
2.52,1.41,0.000000
2.62,1.41,0.000000
2.71,1.41,0.000000
2.81,1.41,0.000000
2.82,0.2,1.570796
2.82,0.3,1.570796
2.82,0.4,1.570796
2.82,0.5,1.570796
2.82,0.6,1.570796
2.82,0.7,1.570796
2.82,0.8,1.570796
2.82,0.9,1.570796
2.82,1,1.570796
2.82,1.1,1.570796
2.82,1.2,1.570796
2.82,1.3,1.570796
2.82,1.4,1.570796
2.82,1.5,1.570796
2.82,1.6,1.570796
2.82,1.7,1.570796
2.82,1.8,1.570796
2.82,1.9,1.570796
2.82,2,1.570796
2.82,2.1,1.570796
2.82,2.2,1.570796
2.82,2.3,1.570796
2.82,2.4,1.570796
2.82,2.5,1.570796
2.82,2.6,1.570796
2.82,2.7,1.570796
2.82,2.8,1.570796
2.82,2.9,1.570796
2.82,3,1.570796
2.8,3.13,1.868899
2.74,3.25,2.174506
2.66,3.34,2.490061
2.55,3.4,2.815565
2.42,3.42,3.141593
2.31,3.42,3.141593
2.21,3.42,3.141593
2.11,3.42,3.141593
2.01,3.42,3.141593
1.91,3.42,3.141593
1.81,3.42,3.141593
1.71,3.42,3.141593
1.61,3.42,3.141593
1.51,3.42,3.141593
1.41,3.42,3.141593
1.31,3.42,3.141593
1.31,3.21,0.000000
1.41,3.21,0.000000
1.51,3.21,0.000000
1.61,3.21,0.000000
1.71,3.21,0.000000
1.81,3.21,0.000000
1.91,3.21,0.000000
2.01,3.21,0.000000
2.11,3.21,0.000000
2.21,3.21,0.000000
2.31,3.21,0.000000
2.42,3.21,0.000000
2.56,3.15,-0.837060
2.61,3,-1.570796
2.61,2.9,-1.570796
2.61,2.8,-1.570796
2.61,2.7,-1.570796
2.61,2.6,-1.570796
2.61,2.5,-1.570796
2.61,2.4,-1.570796
2.61,2.3,-1.570796
2.61,2.2,-1.570796
2.61,2.1,-1.570796
2.61,2,-1.570796
2.61,1.9,-1.570796
2.61,1.8,-1.570796
2.61,1.7,-1.570796
2.61,1.6,-1.570796
2.61,1.5,-1.570796
2.61,1.4,-1.570796
2.61,1.3,-1.570796
2.61,1.2,-1.570796
2.61,1.1,-1.570796
2.61,1,-1.570796
2.61,0.9,-1.570796
2.61,0.8,-1.570796
2.61,0.7,-1.570796
2.61,0.6,-1.570796
2.61,0.5,-1.570796
2.61,0.4,-1.570796
2.61,0.3,-1.570796
2.61,0.2,-1.570796
2.81,1.62,3.141593
2.71,1.62,3.141593
2.62,1.62,3.141593
2.52,1.62,3.141593
2.42,1.62,3.141593
2.31,1.62,3.141593
2.21,1.62,3.141593
2.12,1.62,3.141593
2.02,1.62,3.141593
1.92,1.62,3.141593
1.81,1.62,3.141593
1.72,1.62,3.141593
1.61,1.62,3.141593
1.51,1.62,3.141593
1.42,1.62,3.141593
1.31,1.62,3.141593
1.22,1.62,3.141593
1.11,1.62,3.141593
1.01,1.62,3.141593
0.92,1.62,3.141593
0.81,1.62,3.141593
0.71,1.62,3.141593
0.61,1.62,3.141593
0.52,1.62,3.141593
0.41,1.62,3.141593
0.32,1.62,3.141593
0.21,1.62,3.141593
0.42,1.51,1.570796
0.42,1.61,1.570796
0.42,1.72,1.570796
0.42,1.81,1.570796
0.42,1.92,1.570796
0.42,2.02,1.570796
0.42,2.12,1.570796
0.42,2.21,1.570796
0.42,2.31,1.570796
0.42,2.42,1.570796
0.42,2.52,1.570796
0.42,2.62,1.570796
0.42,2.71,1.570796
0.42,2.81,1.570796
0.42,2.92,1.570796
0.42,3.02,1.570796
0.48,3.15,0.785398
0.61,3.21,0.000000
0.71,3.21,0.000000
0.81,3.21,0.000000
0.92,3.21,0.000000
1.01,3.21,0.000000
1.11,3.21,0.000000
1.21,3.21,0.000000
1.41,3.42,-1.570796
1.41,3.31,-1.570796
1.41,3.21,-1.570796
1.41,3.12,-1.570796
1.41,3.02,-1.570796
1.41,2.92,-1.570796
1.41,2.81,-1.570796
1.41,2.71,-1.570796
1.41,2.62,-1.570796
1.41,2.52,-1.570796
1.41,2.42,-1.570796
1.41,2.31,-1.570796
1.41,2.21,-1.570796
1.41,2.12,-1.570796
1.41,2.02,-1.570796
1.41,1.92,-1.570796
1.41,1.81,-1.570796
1.41,1.72,-1.570796
1.41,1.61,-1.570796
1.41,1.51,-1.570796
1.41,1.42,-1.570796
1.41,1.31,-1.570796
1.41,1.22,-1.570796
1.41,1.11,-1.570796
1.41,1.01,-1.570796
1.41,0.92,-1.570796
1.41,0.81,-1.570796
1.41,0.71,-1.570796
1.41,0.61,-1.570796
1.35,0.48,-2.356194
1.22,0.42,3.141593
1.11,0.42,3.141593
1.01,0.42,3.141593
0.92,0.42,3.141593
0.81,0.42,3.141593
0.71,0.42,3.141593
0.61,0.42,3.141593
0.48,0.48,2.356194
0.42,0.61,1.570796
0.42,0.71,1.570796
0.42,0.81,1.570796
0.42,0.91,1.570796
0.42,1.01,1.570796
0.42,1.11,1.570796
0.42,1.21,1.570796
0.42,1.31,1.570796
0.42,1.41,1.570796
2.71,0.2,0.000000
